City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,Yumen,40.2833,97.2,67.93,27,99,11.3,CN,2021-09-18 15:34:45
206,Codrington,-38.2667,141.9667,46.62,82,94,15.68,AU,2021-09-18 15:34:45
207,Mahebourg,-20.4081,57.7,72.25,73,75,4.61,MU,2021-09-18 15:34:46
208,Mezen,65.8522,44.24,41.2,69,100,4.76,RU,2021-09-18 15:34:47
209,Faanui,-16.4833,-151.75,77.65,76,14,21.81,PF,2021-09-18 15:34:55
210,Nador,35.174,-2.9287,87.87,47,0,9.22,MA,2021-09-18 15:31:56
211,Dumas,35.8656,-101.9732,77.67,73,1,0.0,US,2021-09-18 15:34:56
212,Eyl,7.9803,49.8164,78.62,80,2,28.52,SO,2021-09-18 15:34:56
213,Moron,-34.6534,-58.6198,75.94,71,3,5.28,AR,2021-09-18 15:33:03
214,Singaraja,-8.112,115.0882,78.64,81,18,4.23,ID,2021-09-18 15:34:56
215,Gwadar,25.1216,62.3254,81.52,86,1,8.97,PK,2021-09-18 15:34:57
216,Mount Isa,-20.7333,139.5,78.57,36,2,13.8,AU,2021-09-18 15:34:57
217,Chepareria,1.3077,35.2039,62.85,90,100,2.89,KE,2021-09-18 15:34:57
218,Namatanai,-3.6667,152.4333,79.32,80,96,7.67,PG,2021-09-18 15:34:58
219,Krasnyy Chikoy,50.3643,108.7512,49.59,85,0,2.48,RU,2021-09-18 15:34:58
220,Sonoita,31.85,-112.8333,86.52,56,44,8.05,MX,2021-09-18 15:34:59
221,Lima,-12.0432,-77.0282,58.14,88,90,3.44,PE,2021-09-18 15:30:50
222,Goundam,16.4145,-3.6708,103.17,18,64,5.79,ML,2021-09-18 15:34:59
223,Kango,0.1943,10.0951,82.31,74,99,3.76,GA,2021-09-18 15:34:59
224,Alpena,45.0617,-83.4327,66.34,61,1,4.0,US,2021-09-18 15:33:34
225,Kaeo,-35.1,173.7833,45.32,93,7,3.67,NZ,2021-09-18 15:35:00
226,Ust-Kuyga,70.0167,135.6,30.07,87,100,18.54,RU,2021-09-18 15:35:00
227,Camapua,-19.5314,-54.0439,100.94,15,72,8.86,BR,2021-09-18 15:35:00
228,Kapit,2.0167,112.9333,74.61,100,100,2.53,MY,2021-09-18 15:35:01
229,Khash,28.2211,61.2158,80.94,9,11,8.39,IR,2021-09-18 15:35:01
230,Santa Vitoria Do Palmar,-33.5189,-53.3681,69.89,62,33,6.26,BR,2021-09-18 15:35:01
231,Lasa,46.6166,10.7002,77.88,54,62,2.28,IT,2021-09-18 15:35:02
232,Seoul,37.5683,126.9778,72.84,83,0,2.3,KR,2021-09-18 15:33:28
233,Provideniya,64.3833,-173.3,40.48,84,28,7.99,RU,2021-09-18 15:35:04
234,Carberry,49.8689,-99.3602,61.65,33,37,15.66,CA,2021-09-18 15:35:04
235,Taoudenni,22.6783,-3.9836,111.06,8,36,5.37,ML,2021-09-18 15:35:04
236,Melita,49.2681,-100.9967,64.54,33,35,17.29,CA,2021-09-18 15:33:29
237,Touros,-5.1989,-35.4608,86.9,50,36,19.75,BR,2021-09-18 15:31:39
238,Olafsvik,64.8945,-23.7142,48.33,65,100,12.57,IS,2021-09-18 15:35:05
239,Talcahuano,-36.7167,-73.1167,53.28,71,0,10.36,CL,2021-09-18 15:35:05
240,Aykhal,66.0,111.5,27.63,80,9,2.84,RU,2021-09-18 15:35:05
241,College,64.8569,-147.8028,39.29,88,75,0.0,US,2021-09-18 15:35:06
242,Pacific Grove,36.6177,-121.9166,60.51,85,2,1.99,US,2021-09-18 15:35:06
243,Inhambane,-23.865,35.3833,71.58,53,40,9.22,MZ,2021-09-18 15:35:15
244,Atikokan,48.7555,-91.6216,61.23,42,88,9.46,CA,2021-09-18 15:35:15
245,La Ronge,55.1001,-105.2842,50.25,71,90,6.91,CA,2021-09-18 15:35:16
246,Warrnambool,-38.3833,142.4833,48.81,78,100,19.08,AU,2021-09-18 15:35:16
247,Barrow,71.2906,-156.7887,30.22,93,90,10.36,US,2021-09-18 15:35:16
248,Latung,5.5,120.8833,82.63,73,27,4.72,PH,2021-09-18 15:35:17
249,Puerto Escondido,15.85,-97.0667,83.23,69,90,3.44,MX,2021-09-18 15:35:17
250,Comodoro Rivadavia,-45.8667,-67.5,51.66,54,20,17.27,AR,2021-09-18 15:35:18
251,Luderitz,-26.6481,15.1594,58.78,77,31,11.92,NA,2021-09-18 15:35:18
252,Isabela,6.7085,121.9711,78.85,83,13,2.93,PH,2021-09-18 15:35:18
253,Opuwo,-18.0607,13.84,89.04,11,2,14.0,NA,2021-09-18 15:35:19
254,Japura,-0.3167,102.35,73.76,97,34,2.21,ID,2021-09-18 15:35:19
255,Blagoyevo,63.3667,47.9167,38.98,75,99,9.78,RU,2021-09-18 15:35:19
256,Sawakin,19.1059,37.3321,88.97,55,37,10.54,SD,2021-09-18 15:35:20
257,Jinchang,38.4953,102.1739,63.91,51,100,8.86,CN,2021-09-18 15:35:20
258,Saint-Francois,46.4154,3.9054,74.64,57,40,2.3,FR,2021-09-18 15:35:20
259,Anloga,5.7947,0.8973,86.22,78,100,12.77,GH,2021-09-18 15:35:21
260,Rocha,-34.4833,-54.3333,70.57,58,1,4.59,UY,2021-09-18 15:33:26
261,Bosaso,11.2842,49.1816,89.92,58,6,1.39,SO,2021-09-18 15:33:31
262,Eyemouth,55.8713,-2.0901,62.82,87,78,5.01,GB,2021-09-18 15:35:21
263,Kasongo-Lunda,-6.4667,16.8167,87.8,45,82,2.51,CD,2021-09-18 15:35:21
264,Warwick,41.7001,-71.4162,75.31,87,90,9.22,US,2021-09-18 15:35:22
265,Byron Bay,-28.65,153.6167,68.11,74,100,6.82,AU,2021-09-18 15:35:22
266,Lompoc,34.6391,-120.4579,61.11,82,90,0.0,US,2021-09-18 15:34:11
267,Jardim,-21.4803,-56.1381,104.36,16,36,7.49,BR,2021-09-18 15:35:23
268,Batsfjord,70.6345,29.7185,44.28,72,2,14.88,NO,2021-09-18 15:35:23
269,Varhaug,58.6147,5.6457,60.89,68,100,24.61,NO,2021-09-18 15:35:23
270,Changji,44.0167,87.3167,77.79,22,0,8.95,CN,2021-09-18 15:35:24
271,Akyab,20.15,92.9,79.7,84,100,5.64,MM,2021-09-18 15:35:24
272,Alofi,-19.0595,-169.9187,75.09,94,12,3.44,NU,2021-09-18 15:35:24
273,Ibra,22.6906,58.5334,87.71,49,67,13.38,OM,2021-09-18 15:34:01
274,Carlsbad,33.1581,-117.3506,72.72,83,20,1.01,US,2021-09-18 15:34:00
275,Koutsouras,35.0339,25.9469,81.79,58,0,4.36,GR,2021-09-18 15:35:25
276,Hurricane,37.1753,-113.2899,79.14,36,38,3.02,US,2021-09-18 15:35:25
277,Flinders,-34.5833,150.8552,55.8,65,0,1.01,AU,2021-09-18 15:35:26
278,Arman,59.7,150.1667,49.62,94,100,15.59,RU,2021-09-18 15:35:26
279,Dedza,-14.3779,34.3332,65.3,64,95,6.91,MW,2021-09-18 15:35:33
280,Puri,19.8,85.85,79.32,81,100,7.34,IN,2021-09-18 15:35:34
281,Cenotillo,20.9667,-88.6167,92.14,45,65,8.28,MX,2021-09-18 15:35:34
282,Pryozerne,45.2698,36.3303,68.14,60,94,11.86,UA,2021-09-18 15:35:34
283,Dunedin,-45.8742,170.5036,44.8,81,50,7.9,NZ,2021-09-18 15:35:35
284,Dakar,14.6937,-17.4441,86.88,79,40,16.11,SN,2021-09-18 15:31:52
285,Puerto Ayora,-0.7393,-90.3518,76.96,93,95,8.01,EC,2021-09-18 15:35:35
286,Fairbanks,64.8378,-147.7164,39.31,88,90,4.61,US,2021-09-18 15:35:13
287,Vila Franca Do Campo,37.7167,-25.4333,72.01,60,93,7.11,PT,2021-09-18 15:35:35
288,Qaqortoq,60.7167,-46.0333,41.5,87,100,5.14,GL,2021-09-18 15:35:36
289,Ichhawar,23.0167,77.0167,75.29,94,100,6.73,IN,2021-09-18 15:35:36
290,Cumberland,35.0502,-78.8664,86.11,69,40,5.75,US,2021-09-18 15:35:36
291,Samana,19.2056,-69.3369,84.16,78,40,4.61,DO,2021-09-18 15:35:36
292,Daud Khel,32.875,71.5701,96.62,34,0,1.66,PK,2021-09-18 15:35:37
293,Kiruna,67.8557,20.2251,40.12,70,90,16.11,SE,2021-09-18 15:35:37
294,Faya,18.3851,42.4509,80.71,33,37,4.63,SA,2021-09-18 15:35:37
